Date,brand,hits_page_pagetitle,page_views
2019-01-01,the-new-yorker,The New Yorker,123786
2019-01-02,the-new-yorker,The Philosopher Redefining Equality | The New Yorker,245071
2019-01-03,the-new-yorker,"Father Time, by David Sedaris | The New Yorker",370169
2019-01-04,the-new-yorker,"Father Time, by David Sedaris | The New Yorker",155683
2019-01-05,the-new-yorker,The New Yorker,115818
2019-01-06,the-new-yorker,The New Yorker,117261
2019-01-07,the-new-yorker,Is Marijuana as Safe as We Think? | The New Yorker,333952
2019-01-08,the-new-yorker,Is Marijuana as Safe as We Think? | The New Yorker,372454
2019-01-09,the-new-yorker,The New Yorker,172154
2019-01-10,the-new-yorker,The New Yorker,160438
2019-01-11,the-new-yorker,The New Yorker,174087
2019-01-12,the-new-yorker,The New Yorker,132866
2019-01-13,the-new-yorker,The New Yorker,132655
2019-01-14,the-new-yorker,The New Yorker,169433
2019-01-15,the-new-yorker,The Pure American Banality of Donald Trump’s White House Fast-Food Buffet | The New Yorker,328650
2019-01-16,the-new-yorker,The Pure American Banality of Donald Trump’s White House Fast-Food Buffet | The New Yorker,201228
2019-01-17,the-new-yorker,Have Aliens Found Us? An Interview with the Harvard Astronomer Avi Loeb About the Mysterious Interstellar Object ‘Oumuamua | The New Yorker,153615
2019-01-18,the-new-yorker,Have Aliens Found Us? An Interview with the Harvard Astronomer Avi Loeb About the Mysterious Interstellar Object ‘Oumuamua | The New Yorker,497240
2019-01-19,the-new-yorker,Have Aliens Found Us? An Interview with the Harvard Astronomer Avi Loeb About the Mysterious Interstellar Object ‘Oumuamua | The New Yorker,165627
2019-01-20,the-new-yorker,The New Yorker,120367
2019-01-21,the-new-yorker,"The Secrets of Lyndon Johnson’s Archives, by Robert A. Caro | The New Yorker",275426
2019-01-22,the-new-yorker,"“Even If He Did Do It, It Wouldn’t Be a Crime”: Rudy Giuliani on President Trump | The New Yorker",291524
2019-01-23,the-new-yorker,The New Yorker,162109
2019-01-24,the-new-yorker,Dems Agree to Fund Wall and Reopen Government If Trump Leaves Country Forever,204973
2019-01-25,the-new-yorker,The Dirty Trickster | The New Yorker,175350
2019-01-26,the-new-yorker,The Dirty Trickster | The New Yorker,194800
2019-01-27,the-new-yorker,The New Yorker,132988
2019-01-28,the-new-yorker,The Supreme Court Case That Enshrined White Supremacy in Law | The New Yorker,226480
2019-01-29,the-new-yorker,The New Yorker,157898
2019-01-30,the-new-yorker,The New Yorker,147684
2019-01-31,the-new-yorker,Why Tony Romo Is a Genius at Football Commentary | The New Yorker,155267
2019-02-01,the-new-yorker,"Trump Lost the Shutdown, But At Least God Made Him President, and He’s Building That Wall | The New Yorker",156707
2019-02-02,the-new-yorker,"David Axelrod on Kamala Harris, Elizabeth Warren, Joe Biden, and the 2020 Field | The New Yorker",160634
2019-02-03,the-new-yorker,The New Yorker,111834
2019-02-04,the-new-yorker,A Suspense Novelist’s Trail of Deceptions | The New Yorker,1163749
2019-02-05,the-new-yorker,A Suspense Novelist’s Trail of Deceptions | The New Yorker,884554
2019-02-06,the-new-yorker,A Suspense Novelist’s Trail of Deceptions | The New Yorker,432233
2019-02-07,the-new-yorker,A Suspense Novelist’s Trail of Deceptions | The New Yorker,280857
2019-02-08,the-new-yorker,Why the National Enquirer’s Attempt to Extort Jeff Bezos Backfired | The New Yorker,193410
2019-02-09,the-new-yorker,A Suspense Novelist’s Trail of Deceptions | The New Yorker,158164
2019-02-10,the-new-yorker,The Democratic Presidential Candidate Pete Buttigieg’s Quiet Rebellion | The New Yorker,153361
2019-02-11,the-new-yorker,Roger Stone’s and Jerome Corsi’s Time in the Barrel | The New Yorker,251981
2019-02-12,the-new-yorker,Private Mossad for Hire | The New Yorker,163852
2019-02-13,the-new-yorker,The New Yorker,142893
2019-02-14,the-new-yorker,"Ruth Bader Ginsburg Isn’t Looking to Retire Yet, But Is Another Supreme Court Justice Ready to Go? | The New Yorker",135824
2019-02-15,the-new-yorker,"Ruth Bader Ginsburg Isn’t Looking to Retire Yet, But Is Another Supreme Court Justice Ready to Go? | The New Yorker",221080
2019-02-16,the-new-yorker,A Weak and Rambling President Declares a Fake National Emergency | The New Yorker,297878
2019-02-17,the-new-yorker,Jane Curtin Is Playing It Straight | The New Yorker,215749
2019-02-18,the-new-yorker,Jane Curtin Is Playing It Straight | The New Yorker,351735
2019-02-19,the-new-yorker,The New Yorker,146719
2019-02-20,the-new-yorker,A Different Kind of Theory of Everything | The New Yorker,148170
2019-02-21,the-new-yorker,The New Yorker,147397
2019-02-22,the-new-yorker,The New Yorker,130452
2019-02-23,the-new-yorker,The New Yorker,112106
2019-02-24,the-new-yorker,The Hard Lessons of Dianne Feinstein’s Encounter with the Young Green New Deal Activists | The New Yorker,222552
